,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mar Del Plata,AR,-38.0023,-57.5575,68.83,98,100,11.5,light intensity drizzle
80,Santa Cruz Del Norte,CU,23.1539,-81.9236,79.65,75,26,11.14,scattered clouds
81,Opuwo,NA,-18.0607,13.84,64.81,33,1,4.34,clear sky
82,Tasiilaq,GL,65.6145,-37.6368,41.16,65,100,41.47,light rain
83,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,0,12.66,clear sky
84,Nyurba,RU,63.2842,118.3319,-27.81,100,57,3.42,broken clouds
85,Rettikhovka,RU,44.1683,132.7669,21.34,91,33,2.84,scattered clouds
86,Barrow,US,71.2906,-156.7887,21.22,63,100,12.66,overcast clouds
87,Dikson,RU,73.5069,80.5464,-2.81,100,99,9.01,overcast clouds
88,Mao,ES,39.8885,4.2658,57.76,94,20,2.3,few clouds
89,Kachiry,KZ,53.0675,76.1036,32.34,63,100,17.25,overcast clouds
90,Fare,PF,-16.7,-151.0167,75.49,71,100,0.31,overcast clouds
91,Palmares Do Sul,BR,-30.2578,-50.5097,68.38,94,100,19.48,overcast clouds
92,Qui Nhon,VN,13.7667,109.2333,74.57,90,99,7.11,overcast clouds
93,Lebu,CL,-37.6167,-73.65,58.14,79,27,7.74,scattered clouds
94,East London,ZA,-33.0153,27.9116,62.44,78,3,10.16,clear sky
95,Lagoa,PT,39.05,-27.9833,63.32,80,100,24.11,overcast clouds
96,Nikolskoye,RU,59.7035,30.7861,37.78,80,94,4.43,overcast clouds
97,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,25,8.01,scattered clouds
98,Codrington,AU,-38.2667,141.9667,56.23,93,83,21.97,light rain
99,Mana,GF,5.6592,-53.7767,77.47,89,82,11.14,moderate rain
100,Hami,CN,42.8,93.45,32.77,46,6,4.29,clear sky
101,La Paz,BO,-16.5,-68.15,67.98,16,75,4.61,broken clouds
102,Necochea,AR,-38.5473,-58.7368,61.3,98,100,9.31,light rain
103,Nurota,UZ,40.5614,65.6886,42.12,41,20,18.88,few clouds
104,Sao Filipe,CV,14.8961,-24.4956,77.07,73,74,7.81,broken clouds
105,Secovce,SK,48.7007,21.661,46.89,86,7,2.06,clear sky
106,Nalbari,IN,26.4456,91.4354,66.18,89,0,6.26,clear sky
107,Kinkala,CG,-4.3614,14.7644,72.64,89,100,1.66,light rain
108,Sestri Levante,IT,44.2732,9.3968,57.06,69,100,5.75,overcast clouds
109,Avarua,CK,-21.2078,-159.775,77.05,57,20,11.5,few clouds
110,Ixtapa,MX,20.7,-105.2,80.22,73,40,10.36,scattered clouds
111,Tual,ID,-5.6667,132.75,83.79,73,89,10.16,overcast clouds
112,Tooele,US,40.5308,-112.2983,39.07,70,0,4.61,clear sky
113,Warrnambool,AU,-38.3833,142.4833,56.73,92,94,20.07,moderate rain
114,Vardo,NO,70.3705,31.1107,31.98,74,0,13.8,clear sky
115,Korla,CN,41.7597,86.1469,32.85,56,0,1.77,clear sky
116,Kavieng,PG,-2.5744,150.7967,85.14,67,99,13.6,overcast clouds
117,Alofi,NU,-19.0595,-169.9187,80.49,74,71,12.66,broken clouds
118,Busselton,AU,-33.65,115.3333,48.54,80,0,9.95,clear sky
119,Pouembout,NC,-21.1333,164.9,80.19,67,13,6.11,few clouds
120,Airai,TL,-8.9266,125.4092,62.6,84,100,1.32,overcast clouds
121,Georgetown,MY,5.4112,100.3354,80.24,95,20,2.3,few clouds
122,Abu Samrah,SY,35.3029,37.1841,60.91,49,0,4.68,clear sky
123,Jaggayyapeta,IN,16.9,80.1,70.45,87,48,4.05,scattered clouds
124,Arenillas,ES,41.3471,-2.8462,45.0,84,83,5.17,broken clouds
125,La Grande,US,45.3246,-118.0877,45.01,55,41,8.12,scattered clouds
126,Esperance,AU,-33.8667,121.9,56.39,70,100,8.75,overcast clouds
127,Cap Malheureux,MU,-19.9842,57.6142,70.47,71,0,3.0,clear sky
128,Phuket,TH,8.0,98.25,85.12,93,20,0.0,moderate rain
129,Ayan,RU,56.45,138.1667,21.79,55,5,5.79,clear sky
130,Takoradi,GH,4.8845,-1.7554,79.32,81,100,6.76,overcast clouds
131,Hualmay,PE,-11.0964,-77.6139,66.18,78,66,9.84,broken clouds
132,Rawlins,US,41.7911,-107.2387,33.69,47,0,9.22,clear sky
133,Provideniya,RU,64.3833,-173.3,14.36,52,0,4.47,clear sky
134,Lobau,DE,51.1,14.6667,48.45,93,3,7.29,clear sky
135,Yar-Sale,RU,66.8333,70.8333,-0.6,91,100,7.94,overcast clouds
136,Umuahia,NG,5.5263,7.4896,74.35,91,77,4.83,broken clouds
137,Hirara,JP,24.8,125.2833,76.05,78,100,22.3,overcast clouds
138,Teknaf,BD,20.8624,92.3058,68.7,79,0,6.13,clear sky
139,Shaoxing,CN,30.011,120.5715,55.35,66,100,4.12,overcast clouds
140,Port Elizabeth,ZA,-33.918,25.5701,61.09,82,0,9.22,clear sky
141,Mahebourg,MU,-20.4081,57.7,70.25,88,40,4.61,scattered clouds
142,Talnakh,RU,69.4865,88.3972,-23.46,82,79,4.29,broken clouds
143,Kangaatsiaq,GL,68.3065,-53.4641,21.09,96,99,8.86,overcast clouds
144,Bengkulu,ID,-3.8004,102.2655,74.23,94,100,2.08,light rain
145,Tygda,RU,53.1167,126.3333,14.11,97,95,3.8,overcast clouds
146,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.07,53,47,5.66,scattered clouds
147,Norman Wells,CA,65.282,-126.8329,14.04,85,20,0.0,few clouds
148,Dingle,PH,10.9995,122.6711,75.88,94,58,7.36,broken clouds
149,Palmer,US,42.1584,-72.3287,48.24,63,75,18.41,broken clouds
150,Moron,AR,-34.6534,-58.6198,71.35,89,100,5.19,light rain
151,Beira,MZ,-19.8436,34.8389,80.69,78,0,5.79,clear sky
152,Pevek,RU,69.7008,170.3133,-17.57,98,71,4.72,broken clouds
