,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Bengkulu,ID,74.23,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
146,Sao Miguel Do Araguaia,BR,83.07,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
148,Dingle,PH,75.88,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
150,Moron,AR,71.35,light rain,-34.6534,-58.6198,Hotel Morón
151,Beira,MZ,80.69,clear sky,-19.8436,34.8389,Beira Terrace Hotel
153,Sirajganj,BD,71.74,clear sky,24.45,89.7167,Shuvo's Home
158,Ponta Do Sol,PT,68.72,broken clouds,32.6667,-17.1,Hotel do Campo
159,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
164,Port Blair,IN,77.65,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
166,Lavumisa,SZ,65.64,overcast clouds,-27.31,31.892,ROADSIDE B&B
169,Colares,PT,65.75,scattered clouds,38.7992,-9.4469,Arribas Sintra Hotel
173,Richards Bay,ZA,69.12,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
176,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
181,Inhambane,MZ,76.62,moderate rain,-23.865,35.3833,Oceano
185,Nhulunbuy,AU,81.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
187,Paramonga,PE,66.36,scattered clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
188,Marmaris,TR,65.1,clear sky,36.855,28.2742,BLUE BAY PLATINUM HOTEL
191,Nata,PA,76.87,heavy intensity rain,8.3333,-80.5167,Rey David
192,Campana,AR,69.62,overcast clouds,-34.1687,-58.9591,Hotel Morada Suites
194,Rawatbhata,IN,66.42,clear sky,24.9333,75.5833,Bhainsrorgarh Fort Hotel
195,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
196,Murchison,NZ,67.64,overcast clouds,-41.8,172.3333,OFF THE BEATEN TRAIL ACCOMMODATION & BIKE TOURS.
197,Victoria,HK,75.38,scattered clouds,22.2855,114.1577,Mini Central
201,Tam Ky,VN,74.61,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
202,San Cristobal,VE,73.58,moderate rain,7.7669,-72.225,Pirineos
207,Atambua,ID,76.6,overcast clouds,-9.1061,124.8925,Ros Muskanan
212,Bilma,NE,69.17,clear sky,18.6853,12.9164,Expeditions Ténére voyages
213,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
219,Kismayo,SO,77.97,broken clouds,-0.3582,42.5454,Agan-Hotel
224,Ambulu,ID,75.94,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
226,Sale,MA,71.64,overcast clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
227,Dhidhdhoo,MV,81.52,overcast clouds,6.8833,73.1,Dhidhoo beach
231,Le Port,RE,71.6,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
233,Bhitarwar,IN,65.57,clear sky,25.8,78.1167,Rahman master
236,Malakal,SS,76.48,few clouds,9.5334,31.6605,Nile Palace Hotel
238,Mogadishu,SO,79.05,broken clouds,2.0371,45.3438,Hotel Juba
247,Tuy Hoa,VN,73.98,broken clouds,13.0833,109.3,Hotel Sài Gòn-Phú Yên
250,Puerto Narino,CO,81.88,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
251,Ugoofaaru,MV,81.18,overcast clouds,5.6667,73.0,Ungoofaaru Inn
252,Carutapera,BR,79.2,broken clouds,-1.195,-46.02,Lidera
254,Dakar,SN,80.73,clear sky,14.6937,-17.4441,Novotel Dakar
255,Pointe Michel,DM,80.89,few clouds,15.25,-61.3833,Roseau Hostel & Beach Front Property
256,Srandakan,ID,76.3,overcast clouds,-7.9386,110.2506,Puri Brata
259,Si Sa Ket,TH,73.74,overcast clouds,14.8333,104.3333,ร้านค้า อัญชัน
260,Phibun Mangsahan,TH,75.18,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
263,Caravelas,BR,76.73,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
269,Neiafu,TO,78.57,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
270,Cidreira,BR,67.86,overcast clouds,-30.1811,-50.2056,Hotel Castelo
278,Corn Island,NI,82.15,moderate rain,12.1694,-83.0418,Big Fish Guest House
286,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
288,Mbour,SN,76.05,overcast clouds,14.422,-16.9638,Tama Lodge
289,Alappuzha,IN,77.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
290,Alice Springs,AU,67.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
291,Bentiu,SS,74.3,clear sky,9.2333,29.8333,Mandela hôtel
294,Mongu,ZM,72.66,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
296,Sao Jose Da Coroa Grande,BR,77.79,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
297,Cabo San Lucas,MX,82.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
301,Rio Grande,BR,69.91,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
302,Hong Gai,VN,73.31,broken clouds,20.956,107.0946,Hạ Long DC Hotel
307,Wanning,CN,76.53,overcast clouds,18.8003,110.3967,Paradise Hotel
310,Dzilam Gonzalez,MX,81.05,clear sky,21.2833,-88.9333,posadas
312,Mangrol,IN,77.31,clear sky,21.1167,70.1167,Hotel The Royal Honours
314,Kaeo,NZ,71.33,clear sky,-35.1,173.7833,Bushido Lodge
315,Kati,ML,78.21,broken clouds,12.7441,-8.0726,Lingot d’or
316,Kavaratti,IN,80.17,overcast clouds,10.5669,72.642,Green leaf
318,Marawi,PH,67.84,broken clouds,7.9986,124.2928,Derogongan Residence
321,Kiama,AU,72.25,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
323,Guanica,PR,82.92,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
324,Makakilo City,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
326,Kudahuvadhoo,MV,80.49,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
328,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
333,Itapeva,BR,73.53,scattered clouds,-23.9822,-48.8756,Grand Hotel Itapeva
338,Pedernales,DO,80.98,light rain,18.0384,-71.744,Hotel Costa Marina
339,Cayenne,GF,80.64,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
342,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
345,Padang,ID,74.41,moderate rain,-0.9492,100.3543,Mercure Padang
346,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
348,Filingue,NE,82.33,scattered clouds,14.3521,3.3168,Chez Zarkilou Issa
351,Mogwase,ZA,67.41,clear sky,-25.185,27.2665,De Skaap Accommodation & Event Venue
353,Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
356,Acarau,BR,79.84,clear sky,-2.8856,-40.12,castelo pizzaria
357,Belmonte,BR,77.0,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
362,Vaitape,PF,74.68,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
363,Touros,BR,79.18,few clouds,-5.1989,-35.4608,INN NEW HORIZON
365,Truth Or Consequences,US,65.91,clear sky,33.1284,-107.2528,Charles Hot Springs
370,Saint-Pierre,RE,71.28,overcast clouds,-21.3393,55.4781,Alize Plage
373,Byron Bay,AU,74.71,overcast clouds,-28.65,153.6167,Backpackers Inn
374,Lazaro Cardenas,MX,82.63,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
376,Tabou,CI,78.67,overcast clouds,4.423,-7.3528,hotêl doufoulougou
379,Wad Madani,SD,77.65,clear sky,14.4012,33.5199,فندق يوغسلافيا
381,Abeche,TD,75.16,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
382,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
383,Biak,ID,77.52,overcast clouds,-0.9131,122.8766,Penginapan Kim
386,Tucuman,AR,73.4,few clouds,-26.8241,-65.2226,Hotel Premier
392,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
393,Matamoros,MX,75.31,clear sky,25.5333,-103.25,Quinta Belem
399,San Juan,AR,74.57,few clouds,-31.5375,-68.5364,Hotel Provincial
401,Catuday,PH,78.71,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
405,Santa Fe,AR,72.01,broken clouds,-31.6333,-60.7,Conquistador Hotel
410,Port Shepstone,ZA,68.2,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
414,Axim,GH,78.39,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
416,Benguela,AO,73.42,clear sky,-12.5763,13.4055,Hotel Praia Morena
425,Nabire,ID,77.77,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
431,Sayaxche,GT,81.3,few clouds,16.5167,-90.1667,Fam. Choc
432,Condado,CU,80.6,scattered clouds,21.8767,-79.8403,Casa Guachinango
433,Paka,MY,76.98,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
439,Huarmey,PE,67.23,scattered clouds,-10.0681,-78.1522,Hotel Miramar
443,Caraballeda,VE,84.27,overcast clouds,10.6112,-66.8522,Ole Caribe
446,Atar,MR,79.88,few clouds,20.5169,-13.0499,Oumou Elghoura
447,Rabat,MA,71.04,overcast clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
448,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
449,Massakory,TD,79.92,clear sky,12.996,15.7293,Chabakari - Am Doukhan
452,Adeje,ES,77.88,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
453,Bitung,ID,74.25,broken clouds,1.4451,125.1824,K2 Lembeh
454,Ozuluama,MX,67.23,broken clouds,21.6667,-97.85,Hotel Posada De La Roma
458,Rabak,SD,77.74,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
466,Oranjestad,AW,81.91,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
467,Canutama,BR,83.23,overcast clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
468,Morant Bay,JM,78.42,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
470,Mocuba,MZ,75.49,scattered clouds,-16.8392,36.9856,Phama Lodge
471,Grand-Lahou,CI,78.53,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
475,Copiapo,CL,65.89,clear sky,-27.3667,-70.3333,Antay Casino Hotel
477,Vao,NC,74.5,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
